SL,Station ID,Station,River,Tidal Status,District,Upazila,Latitude,Longitude
1,SW1,Bagerhat,Alaipur Khal Daratona,Tidal,Bagerhat,Bagerhat Sadar,22.6488,89.8037
2,SW105,Off take at Atharobanka,Gorai-Madhumati-Haringhata-Baleswar,Tidal,Bagerhat,Mollahat,22.9654,89.7825
3,SW244,Mongla,Rupsa-Pasur,Tidal,Bagerhat,Mongla,22.4807,89.6080
4,SW107.2,Rayenda,Gorai-Madhumati-Haringhata-Baleswar,Tidal,Bagerhat,Sarankhola,22.3161,89.8495
5,SW203.5,Poamuhuri,Matamuhuri,Non-Tidal,Bandarban,Alikadam,21.4581,92.4545
6,SW203A,Alikadam,Matamuhuri,Non-Tidal,Bandarban,Alikadam,21.6435,92.3123
7,SW247,Bandarban,Sangu,Non-Tidal,Bandarban,Bandarban Sadar,22.1966,92.2166
8,SW246,Galimkata,Sangu,Non-Tidal,Bandarban,Bandarban Sadar,22.1393,92.2900
9,SW203,Lama,Matamuhuri,Non-Tidal,Bandarban,Lama,21.7861,92.1908
10,SW245,Ruma,Sangu,Non-Tidal,Bandarban,Ruma,22.0600,92.3700
11,SW247.4,Remakri,Sangu,Non-Tidal,Bandarban,Thanchi,21.6761,92.5173
12,SW247.5,Thanchi,Sangu,Non-Tidal,Bandarban,Thanchi,21.8163,92.4372
13,SW20,Amtali,Barisal-Buriswar,Tidal,Barguna,Amtali,22.1432,90.2265
14,SW38,Bamna,Bishkhali,Tidal,Barguna,Bamna,22.3241,90.0908
15,SW38.1,Barguna,Bishkhali,Tidal,Barguna,Barguna Sadar,22.1581,90.1050
16,SW37.5,Betagi,Bishkhali,Tidal,Barguna,Betagi,22.4161,90.1656
17,SW108,Chardoani,Gorai-Madhumati-Haringhata-Baleswar,Tidal,Barguna,Patharghata,22.1075,89.9100
18,SW39,Patharghata,Bishkhali,Tidal,Barguna,Patharghata,22.0134,89.9642
19,SW318,Babuganj,Babuganj,Tidal,Barisal,Babuganj,22.8182,90.3212
20,SW183,Kaitpara,Lohalia,Tidal,Barisal,Bakerganj,22.5167,90.4327
21,SW18.1,Bakerganj,Barisal-Buriswar,Tidal,Barisal,Bakerganj,22.5429,90.3386
22,SW18,Barisal,Kirtankhola,Tidal,Barisal,Barisal Sadar,22.6966,90.3740
23,SW288.3,Tongibari,Tentulia (Barisal-Bhola),Tidal,Barisal,Barisal Sadar,22.6882,90.4894
24,SW300,Gournadi,Torki,Tidal,Barisal,Gaurnadi,22.9760,90.2305
25,SW323,Abupur,Naya Bhangani,Tidal,Barisal,Hizla,22.9741,90.4641
26,SW320,Hizla,Dharmajani,Tidal,Barisal,Hizla,22.8907,90.5046
27,SW253A,Uzirpur,Swarupkati/Sandha,Tidal,Barisal,Wazirpur,22.8119,90.2408
28,SW288.4,Bhola Kheya ghat,Tentulia (Barisal-Bhola),Tidal,Bhola,Bhola Sadar,22.6766,90.6062
29,SW278,Daulatkhan,Surma-Meghna,Tidal,Bhola,Daulatkhan,22.6038,90.7483
30,SW279,Tajumuddin,Surma-Meghna,Tidal,Bhola,Tazumuddin,22.4088,90.8526
31,SW65,Bogra,Deonai_Charalkata_Jamuneswari_Karatoa,Non-Tidal,Bogura,Bogura Sadar,24.8459,89.3792
32,SW324,Dhunot,Old Bangali,Non-Tidal,Bogura,Dhunot,24.6848,89.5428
33,SW312,Talora Rly.Cros,Nagor,Non-Tidal,Bogura,Dhupchanchia,24.8261,89.1889
34,SW306,Gabtali,Ichamati (Outfall),Non-Tidal,Bogura,Gabtali,24.9030,89.4600
35,SW15J,Mathurpara-Milanpur,Brahmaputra-Jamuna,Non-Tidal,Bogura,Shariakandi,24.8375,89.5872
36,SW11A,Shariakandi,Bangali,Non-Tidal,Bogura,Shariakandi,24.8744,89.5655
37,SW11,Khanpur,Bangali,Non-Tidal,Bogura,Sherpur,24.6289,89.4644
38,SW64,Shibganj,Deonai_Charalkata_Jamuneswari_Karatoa,Non-Tidal,Bogura,Shibganj,25.1708,89.3205
39,SW10,Simulbari,Bangali,Non-Tidal,Bogura,Sonatola,25.0497,89.5226
40,SW123,Gangasagar Rly.,Hawrah,Non-Tidal,Brahmanbaria,Akhaura,23.8335,91.1985
41,SW296,Akhaura,Titas,Tidal,Brahmanbaria,Akhaura,23.8798,91.1993
42,SW359,Harashpur,Lohor,Non-Tidal,Brahmanbaria,Bijoynagar,24.0168,91.2991
43,SW3A,Brahmanbaria,Anderson khal,Tidal,Brahmanbaria,Brahamanbaria Sadar,23.9569,91.1196
44,SW297,Gokarnaghat,Titas,Tidal,Brahmanbaria,Brahamanbaria Sadar,23.9531,91.0831
45,SW3,Brahmanbaria Rly_Bridge,Anderson khal,Tidal,Brahmanbaria,Brahamanbaria Sadar,23.9566,91.1200
46,SW330,Bijni Rly Bridge,Bijni,Non-Tidal,Brahmanbaria,Kasba,23.6733,91.1600
47,SW298.5,Salimganj,Titas,Tidal,Brahmanbaria,Nabinagar,23.8486,90.8453
48,SW298,Nabinagar,Titas,Tidal,Brahmanbaria,Nabinagar,23.9051,90.9735
49,SW295,Ajabpur,Titas,Tidal,Brahmanbaria,Sarail,24.1212,91.0548
50,SW277,Chandpur,Surma-Meghna,Tidal,Chandpur,Chandpur Sadar,23.2290,90.6448
51,SW277.3,Nilkamal,Surma-Meghna,Tidal,Chandpur,Haimchar,23.0843,90.6492
52,SW58A,Laksam,Dakatia,Non-Tidal,Chandpur,Hajiganj,23.2338,91.1189
53,SW58,Hajiganj,Dakatia,Tidal,Chandpur,Hajiganj,23.2489,90.8613
54,SW276,Satnal,Surma-Meghna,Tidal,Chandpur,Matlab Dakshin,23.4805,90.5932
55,SW79,Matlab Bazar,Dhanagoda,Tidal,Chandpur,Matlab Uttar,23.3548,90.7098
56,SW250,Banigram,Sangu,Tidal,Chattogram,Bashkhali,22.1217,91.8947
57,SW248,Dohazari,Sangu,Tidal,Chattogram,Chandanaish,22.1593,92.0671
58,SW152.2,Kalurghat,Karnafuli,Tidal,Chattogram,Chittagong Sadar,22.3946,91.8908
59,SW121,Enayethat,Halda,Tidal,Chattogram,Chittagong Sadar,22.4197,91.8823
60,SW153,Chittagong,Karnafuli,Tidal,Chattogram,Chittagong Sadar,22.3229,91.8300
61,SW119A,South Sundarpur,Halda,Tidal,Chattogram,Fatikchhari,22.6781,91.7800
62,SW356,Bainochhola,Dhurang Khal,Non-Tidal,Chattogram,Fatikchhari,22.7615,91.8685
63,SW117,Narayanhat,Halda,Non-Tidal,Chattogram,Fatikchhari,22.8120,91.7210
64,SW119.1,Panchpukuria,Halda,Non-Tidal,Chattogram,Fatikchhari,22.6670,91.7821
65,SW357,Akulia,Dhurang Khal,Non-Tidal,Chattogram,Fatikchhari,22.6810,91.7778
66,SW120,Telpari,Halda,Tidal,Chattogram,Hathazari,22.5575,91.8441
67,SW84.1,Kaliachari,Feni,Non-Tidal,Chattogram,Mirsharai,22.9390,91.6157
68,SW124,Thandachari,Ichamati(Rangamati),Non-Tidal,Chattogram,Rangunia,22.5700,92.0404
69,SW125,Outfall Karnafuli(Rangunia),Ichamati(Rangamati),Tidal,Chattogram,Rangunia,22.4594,92.0648
70,SW206,Hatboalia,Mathabhanga,Non-Tidal,Chuadanga,Alamdanga,23.8264,88.8626
